,pd_month,pd_date,pd_weekday,pd_time,pd_currency,pd_news,pd_impact,pd_forecast,pd_previous
51,Dec,16,Wednesday,09:30,USD,EIA Gasoline Production Change,low,,-0.24M*
52,Dec,16,Wednesday,09:30,USD,EIA Crude Oil Imports Change,low,,2.7M*
53,Dec,16,Wednesday,09:30,USD,EIA Cushing Crude Oil Stocks Change,med,,-1.36M*
54,Dec,16,Wednesday,09:30,USD,EIA Refinery Crude Runs Change,low,,0.42M*
55,Dec,16,Wednesday,09:30,EUR,ECB Guindos Speech,med,,
56,Dec,16,Wednesday,10:15,EUR,ECB Schnabel Speech,low,,
57,Dec,16,Wednesday,10:30,USD,105-Day Bill Auction,low,,0.09%*
58,Dec,16,Wednesday,10:30,USD,154-Day Bill Auction,low,,0.09%
59,Dec,16,Wednesday,11:00,EUR,German Bundesbank Weidmann Speech,med,,
60,Dec,16,Wednesday,13:00,USD,Federal Funds Rate,med,0.25%,0.25%
61,Dec,16,Wednesday,13:00,USD,FOMC Economic Projections,med,,
62,Dec,16,Wednesday,13:30,USD,Fed Press Conference,med,,
63,Dec,16,Wednesday,16:45,NZD,GDP Growth Rate YoY,med,-1.0%,-12.4%
64,Dec,16,Wednesday,16:45,NZD,GDP Growth Rate QoQ,med,14.1%,-11.0%*
65,Dec,16,Wednesday,17:50,JPY,Stock Investment by Foreigners,low,,42.3B*
66,Dec,16,Wednesday,17:50,JPY,Foreign Bond Investment,low,,"1,257.1B*"
67,Dec,16,Wednesday,18:00,AUD,HIA New Home Sales MoM,med,0.8%,-1.3%
68,Dec,16,Wednesday,18:30,AUD,Participation Rate,low,66.0%,65.8%
69,Dec,16,Wednesday,18:30,AUD,Part Time Employment Chg,med,25.0k,81.7k*
70,Dec,16,Wednesday,18:30,AUD,Full Time Employment Chg,med,35.0k,98.7k*
71,Dec,16,Wednesday,18:30,AUD,Unemployment Rate,med,7.0%,7.0%
72,Dec,16,Wednesday,18:30,AUD,Employment Change,med,60.0k,180.3k*
0,Dec,17,Thursday,01:00,CHF,Balance of Trade,med,3.2B,2.9B
1,Dec,17,Thursday,01:45,EUR,French Business Confidence,med,93.0,92.0
2,Dec,17,Thursday,01:45,EUR,French Business Climate Indicator,low,82.0,79.4*
3,Dec,17,Thursday,02:30,CHF,SNB Interest Rate Decision,med,-0.75%,-0.75%
4,Dec,17,Thursday,03:30,CHF,SNB Press Conference,med,,
5,Dec,17,Thursday,04:00,EUR,Core Inflation Rate YoY Final,med,0.2%,0.2%
6,Dec,17,Thursday,04:00,EUR,Inflation Rate MoM Final,low,-0.3%,0.2%
7,Dec,17,Thursday,04:00,EUR,Inflation Rate YoY Final,med,-0.3%,-0.3%
8,Dec,17,Thursday,06:00,GBP,Official Bank Rate,med,0.1%,0.1%
9,Dec,17,Thursday,06:00,GBP,BoE Quantitative Easing,med,875.0B,875.0B
10,Dec,17,Thursday,06:00,GBP,MPC Meeting Minutes,med,,
11,Dec,17,Thursday,06:00,GBP,BoE MPC Vote Hike,med,0.0,0.0
12,Dec,17,Thursday,06:00,GBP,BoE MPC Vote Unchanged,med,9.0,9.0
13,Dec,17,Thursday,06:00,GBP,BoE MPC Vote Cut,med,0.0,0.0
14,Dec,17,Thursday,07:30,CAD,Adp Employment Change,med,-50.0k,-383.5k*
15,Dec,17,Thursday,07:30,USD,Philadelphia Fed Manufacturing Index,med,22.0,26.3
16,Dec,17,Thursday,07:30,USD,Jobless Claims 4-Week Average,med,770.56k,778.25k*
17,Dec,17,Thursday,07:30,USD,Continuing Jobless Claims,low,"5,650.0k","5,781.0k*"
18,Dec,17,Thursday,07:30,USD,Initial Jobless Claims,med,815.0k,862.0k*
19,Dec,17,Thursday,07:30,USD,Building Permits MoM,med,0.1%,-0.1%*
20,Dec,17,Thursday,07:30,USD,Housing Starts MoM,med,0.1%,6.3%*
21,Dec,17,Thursday,07:30,USD,Housing Starts,med,1.53M,1.53M*
22,Dec,17,Thursday,07:30,USD,Building Permits,med,1.55M,1.54M*
23,Dec,17,Thursday,09:30,USD,EIA Natural Gas Stocks Change,low,,-91.0Bcf
24,Dec,17,Thursday,09:30,GBP,BoE Broadbent Speech,med,,
25,Dec,17,Thursday,10:00,USD,Kansas Fed Manufacturing Index,low,17.0,20.0
26,Dec,17,Thursday,10:00,EUR,ECB Schnabel Speech,low,,
27,Dec,17,Thursday,10:30,USD,4-Week Bill Auction,low,,0.07%*
28,Dec,17,Thursday,10:30,USD,8-Week Bill Auction,low,,0.08%*
29,Dec,17,Thursday,11:30,EUR,ECB Guindos Speech,med,,
30,Dec,17,Thursday,15:00,NZD,ANZ Roy Morgan Consumer Confidence,low,107.4,106.9
31,Dec,17,Thursday,15:45,NZD,Imports,low,,5.27B*
32,Dec,17,Thursday,15:45,NZD,Exports,low,,4.8B*
33,Dec,17,Thursday,15:45,NZD,Balance of Trade,med,-620.0M,-472.0M*
34,Dec,17,Thursday,17:30,JPY,Core Inflation Rate YoY,med,-0.8%,-0.7%
35,Dec,17,Thursday,17:30,JPY,Inflation Rate YoY,high,-0.5%,-0.4%
36,Dec,17,Thursday,17:30,JPY,Inflation Rate MoM,low,-0.2%,-0.1%
37,Dec,17,Thursday,17:30,JPY,Inflation Rate Ex-Food and Energy YoY,low,-0.2%,-0.2%
38,Dec,17,Thursday,18:00,NZD,ANZ Business Confidence,low,-7.5,-6.9
39,Dec,17,Thursday,18:01,GBP,GfK Consumer Confidence,high,-30.0,-33.0
40,Dec,17,Thursday,21:45,JPY,BoJ Interest Rate Decision,med,-0.1%,-0.1%
0,Dec,18,Friday,01:00,GBP,Retail Sales YoY,med,3.2%,5.8%
1,Dec,18,Friday,01:00,GBP,Core Retail Sales,low,-2.0%,1.4%*
2,Dec,18,Friday,01:00,GBP,Core Retail Sales,low,6.5%,7.8%
3,Dec,18,Friday,01:00,GBP,Retail Sales MoM,med,-2.8%,1.3%*
4,Dec,18,Friday,01:00,EUR,German PPI YoY,low,-0.5%,-0.7%
5,Dec,18,Friday,01:00,EUR,German PPI MoM,med,0.2%,0.1%
6,Dec,18,Friday,02:00,CHF,Current Account,med,19.1B,13.1B*
7,Dec,18,Friday,03:00,EUR,Current Account,low,36.2B,33.5B
8,Dec,18,Friday,03:00,EUR,German Ifo Expectations,low,92.5,91.8*
9,Dec,18,Friday,03:00,EUR,German Ifo Current Conditions,low,88.9,90.0
10,Dec,18,Friday,03:00,EUR,German Ifo Business Climate,high,90.0,90.9*
11,Dec,18,Friday,05:00,GBP,CBI Industrial Trends Orders,med,-27.0,-40.0
12,Dec,18,Friday,07:30,CAD,Retail Sales Ex Autos MoM,low,0.5%,1.0%
13,Dec,18,Friday,07:30,CAD,Retail Sales YoY,low,5.0%,5.6%*
14,Dec,18,Friday,07:30,CAD,Retail Sales MoM,med,0.3%,1.1%
15,Dec,18,Friday,07:30,USD,Current Account,med,-180.0B,-161.3B*
16,Dec,18,Friday,08:00,EUR,ECB Enria Speech,low,,
17,Dec,18,Friday,08:20,EUR,ECB McCaul Speech,low,,
18,Dec,18,Friday,09:00,USD,CB Leading Index MoM,low,0.4%,0.8%*
19,Dec,18,Friday,09:25,EUR,ECB Enria Speech,low,,
20,Dec,18,Friday,10:00,CAD,Budget Balance,low,-28.4B,-27.59B*
21,Dec,18,Friday,10:00,USD,Fed Evans Speech,med,,
22,Dec,18,Friday,10:10,USD,Fed Brainard Speech,med,,
23,Dec,18,Friday,12:00,USD,Baker Hughes Oil Rig Count,low,,258.0
24,Dec,18,Friday,12:00,USD,Baker Hughes Total Rig Count,low,,338.0
25,Dec,18,Friday,15:30,USD,Fed Bank Stress Test Results  2nd Round,med,,
0,Dec,6,Sunday,04:00,EUR,ECB President Lagarde Speech,med,,
1,Dec,6,Sunday,15:30,AUD,Ai Group Services Index,med,,51.4
2,Dec,6,Sunday,16:00,AUD,RBA Gov Lowe Speech,med,,
3,Dec,6,Sunday,17:50,JPY,Foreign Exchange Reserves,low,,"1,384.4B"
4,Dec,6,Sunday,18:30,AUD,ANZ Job Advertisements MoM,low,8.0%,11.9%*
5,Dec,6,Sunday,21:00,CNY,Chinese Balance of Trade,med,49.6B,58.44B
6,Dec,6,Sunday,21:00,CNY,Chinese Imports YoY,med,5.2%,4.7%
7,Dec,6,Sunday,21:00,CNY,Chinese Exports YoY,med,10.0%,11.4%
8,Dec,6,Sunday,23:00,JPY,Coincident Index Prel,low,80.5,84.8*
9,Dec,6,Sunday,23:00,JPY,Leading Economic Index Prel,low,93.2,93.3*
0,Dec,7,Monday,01:00,EUR,German Industrial Production MoM,med,1.2%,2.3%*
1,Dec,7,Monday,02:00,CHF,Foreign Exchange Reserves,low,,871.7B*
2,Dec,7,Monday,02:30,GBP,Halifax House Price Index,med,7.1%,7.5%
3,Dec,7,Monday,02:30,GBP,Halifax House Price Index MoM,med,0.4%,0.3%
4,Dec,7,Monday,03:00,CNY,Chinese Foreign Exchange Reserves,low,3.11,3.13*
5,Dec,7,Monday,08:00,EUR,French 12-Month BTF Auction,low,,-0.65%*
6,Dec,7,Monday,08:00,EUR,French 3-Month BTF Auction,low,,-0.66%*
7,Dec,7,Monday,08:00,EUR,French 6-Month BTF Auction,low,,-0.65%*
8,Dec,7,Monday,09:00,CAD,Ivey PMI s.a,high,54.0,54.5
9,Dec,7,Monday,10:30,USD,6-Month Bill Auction,low,,0.09%
10,Dec,7,Monday,10:30,USD,3-Month Bill Auction,low,,0.09%*
11,Dec,7,Monday,14:00,USD,Consumer Credit Change,low,17.0B,15.03B*
12,Dec,7,Monday,17:00,JPY,Reuters Tankan Index,low,-10.0,-13.0
13,Dec,7,Monday,17:30,JPY,Household Spending MoM,low,1.2%,3.8%
14,Dec,7,Monday,17:30,JPY,Household Spending YoY,low,2.7%,-10.2%
15,Dec,7,Monday,17:30,JPY,Average Cash Earnings YoY,low,-0.6%,-1.3%*
16,Dec,7,Monday,17:50,JPY,Current Account,med,"1,940.0B","1,660.2B"
17,Dec,7,Monday,17:50,JPY,GDP Growth Annualized Final,med,21.4%,-29.2%*
18,Dec,7,Monday,17:50,JPY,GDP Growth Rate QoQ Final,med,5.0%,-8.3%*
19,Dec,7,Monday,17:50,JPY,GDP External Demand QoQ Final,low,2.9%,-3.3%*
20,Dec,7,Monday,17:50,JPY,GDP Capital Expenditure QoQ Final,low,-3.4%,-4.5%*
21,Dec,7,Monday,17:50,JPY,GDP Private Consumption QoQ Final,low,4.7%,-8.3%*
22,Dec,7,Monday,17:50,JPY,GDP Price Index YoY Final,low,1.1%,1.4%*
23,Dec,7,Monday,17:50,JPY,Bank Lending YoY,low,5.9%,6.2%
24,Dec,7,Monday,18:00,NZD,ANZ Business Confidence Prel,low,-7.5,-6.9*
25,Dec,7,Monday,18:30,AUD,House Price Index YoY,low,7.1%,6.2%
26,Dec,7,Monday,18:30,AUD,House Price Index QoQ,low,-0.8%,-1.8%
27,Dec,7,Monday,18:30,AUD,NAB Business Confidence,high,6.0,3.0*
28,Dec,7,Monday,23:00,JPY,Eco Watchers Survey Current,low,54.0,54.5
29,Dec,7,Monday,23:00,JPY,Eco Watchers Survey Outlook,low,50.0,49.1
0,Dec,8,Tuesday,00:30,EUR,French Private Non Farm Payrolls QoQ Final,low,1.8%,-0.8%
1,Dec,8,Tuesday,00:30,EUR,French Non Farm Payrolls QoQ,low,1.5%,-0.8%*
2,Dec,8,Tuesday,00:45,CHF,Unemployment Rate,med,3.3%,3.2%
3,Dec,8,Tuesday,01:45,EUR,French Balance of Trade,med,-4.7B,-5.6B*
4,Dec,8,Tuesday,01:45,EUR,French Current Account,low,-2.8B,-5.6B*
5,Dec,8,Tuesday,04:00,EUR,GDP Growth Rate QoQ 3rd Est,med,12.6%,-11.7%*
6,Dec,8,Tuesday,04:00,EUR,GDP Growth Rate YoY 3rd Est,med,-4.4%,-14.7%
7,Dec,8,Tuesday,04:00,EUR,Employment Change YoY Final,med,-2.0%,-3.1%
8,Dec,8,Tuesday,04:00,EUR,Employment Change QoQ Final,med,0.9%,-3.0%*
9,Dec,8,Tuesday,04:00,EUR,ZEW Economic Sentiment Index,med,32.0,32.8
10,Dec,8,Tuesday,04:00,EUR,German ZEW Current Conditions,med,-68.0,-64.3
11,Dec,8,Tuesday,04:00,EUR,German ZEW Economic Sentiment Index,med,40.0,39.0
12,Dec,8,Tuesday,05:00,USD,NFIB Business Optimism Index,low,105.0,104.0
13,Dec,8,Tuesday,07:30,USD,Unit Labor Costs,med,-8.9%,12.3%*
14,Dec,8,Tuesday,07:30,USD,Nonfarm Productivity QoQ Final,med,5.0%,10.6%*
15,Dec,8,Tuesday,07:55,USD,Redbook MoM,low,,1.3%
16,Dec,8,Tuesday,07:55,USD,Redbook YoY,low,,9.2%
17,Dec,8,Tuesday,10:30,USD,119-Day Bill Auction,low,,0.09%
18,Dec,8,Tuesday,10:30,USD,42-Day Bill Auction,low,,0.08%
19,Dec,8,Tuesday,12:00,USD,3-Year Note Auction,low,,0.25%
20,Dec,8,Tuesday,15:30,USD,API Crude Oil Stock Change,med,,4.15M*
21,Dec,8,Tuesday,15:45,NZD,Manufacturing Sales YoY,low,-6.0%,-12.1%
22,Dec,8,Tuesday,17:50,JPY,Machinery Orders YoY,med,-10.0%,-11.5%
23,Dec,8,Tuesday,17:50,JPY,Machinery Orders MoM,med,2.5%,-4.4%
24,Dec,8,Tuesday,18:30,AUD,Building Permits MoM Final,med,,16.2%*
25,Dec,8,Tuesday,19:30,CNY,Chinese Inflation Rate MoM,med,-0.1%,-0.3%
26,Dec,8,Tuesday,19:30,CNY,Chinese PPI YoY,med,-1.8%,-2.1%
27,Dec,8,Tuesday,19:30,CNY,Chinese Inflation Rate YoY,med,0.1%,0.5%
28,Dec,8,Tuesday,19:30,AUD,Westpac Consumer Confidence Index,high,105.0,107.7
29,Dec,8,Tuesday,19:30,AUD,Westpac Consumer Confidence Change,high,,2.5%
0,Dec,9,Wednesday,00:00,JPY,Machine Tool Orders YoY,low,-3.0%,-6.0%*
1,Dec,9,Wednesday,01:00,EUR,German Current Account,low,24.2B,25.2B*
2,Dec,9,Wednesday,01:00,EUR,German Balance of Trade s.a,low,,17.6B*
3,Dec,9,Wednesday,01:00,EUR,German Exports MoM s.a,low,,2.3%
4,Dec,9,Wednesday,01:00,EUR,German Imports MoM s.a,low,,0.2%*
5,Dec,9,Wednesday,01:00,EUR,German Balance of Trade,high,23.2B,20.6B*
6,Dec,9,Wednesday,02:15,CNY,Chinese Total Social Financing,low,"1,950.0B","1,420.0B"
7,Dec,9,Wednesday,02:15,CNY,Chinese M2 Money Supply,low,10.4%,10.5%
8,Dec,9,Wednesday,02:15,CNY,Chinese Outstanding Loan Growth YoY,low,12.8%,12.9%
9,Dec,9,Wednesday,02:15,CNY,Chinese New Loans,med,"1,510.0B",689.8B
10,Dec,9,Wednesday,04:40,EUR,German 10-Year Bund Auction,low,,-0.57%
11,Dec,9,Wednesday,04:40,EUR,German 2-Year Schatz Auction,low,,-0.74%
12,Dec,9,Wednesday,06:00,USD,MBA 30-Year Mortgage Rate,low,,2.92%
13,Dec,9,Wednesday,06:00,USD,MBA Mortgage Applications,low,,-0.6%
14,Dec,9,Wednesday,09:00,CAD,BoC Interest Rate Decision,med,0.25%,0.25%
15,Dec,9,Wednesday,09:00,USD,Wholesale Inventories MoM,med,0.9%,0.9%*
16,Dec,9,Wednesday,09:00,USD,JOLTs Job Openings,med,6.4M,6.49M*
17,Dec,9,Wednesday,09:30,USD,EIA Crude Oil Stocks Change,med,,-0.68M*
18,Dec,9,Wednesday,09:30,USD,EIA Gasoline Stocks Change,med,,3.49M*
19,Dec,9,Wednesday,09:30,USD,EIA Distillate Stocks Change,med,,3.24M*
20,Dec,9,Wednesday,09:30,USD,EIA Distillate Fuel Production Change,low,,-0.02M*
