,pd_month,pd_date,pd_weekday,pd_time,pd_currency,pd_news,pd_impact,pd_forecast,pd_previous,pd_impact_direction
22,Jan,8,Friday,7:30,USD,Nonfarm Payrolls,high,190.0k,245.0k,1
23,Jan,8,Friday,7:30,USD,Unemployment Rate,high,6.60%,6.70%,-1
36,Jan,8,Friday,7:30,USD,Average Hourly Earnings MoM,high,0.10%,0.30%,1
7,Jan,13,Wednesday,7:30,USD,Inflation Rate YoY,high,1.10%,1.20%,-1
8,Jan,13,Wednesday,7:30,USD,Core Inflation Rate YoY,high,1.60%,1.60%,-1
20,Jan,15,Friday,7:30,USD,PPI MoM,high,0.20%,0.10%,1
24,Jan,15,Friday,7:30,USD,Retail Sales MoM,high,0.20%,-1.10%,1
12,Jan,26,Tuesday,9:00,USD,CB Consumer Confidence,high,,,1
8,Jan,27,Wednesday,7:30,USD,Durable Goods Orders,high,0.40%,,1
33,Jan,29,Friday,7:30,USD,Personal Income,high,-0.60%,,1
34,Jan,29,Friday,7:30,USD,Personal Spending MoM,high,-0.40%,,1
42,Jan,29,Friday,9:00,USD,UoM Consumer Sentiment Index,high,,,1
17,Feb,3,Wednesday,7:15,USD,ADP National Employment Report,high,,,1
10,Feb,5,Friday,7:30,USD,Balance of Trade,high,-55.0B,,1
17,Feb,5,Friday,7:30,USD,Unemployment Rate,high,,,-1
18,Feb,5,Friday,7:30,USD,Nonfarm Payrolls,high,,,1
25,Feb,5,Friday,7:30,USD,Average Hourly Earnings MoM,high,,,1
28,Feb,10,Wednesday,7:30,USD,Inflation Rate YoY,high,,,-1
29,Feb,10,Wednesday,7:30,USD,Core Inflation Rate YoY,high,,,-1
19,Feb,17,Wednesday,7:30,USD,PPI MoM,high,,,1
24,Feb,17,Wednesday,7:30,USD,Retail Sales MoM,high,,,1
11,Feb,25,Thursday,7:30,USD,Durable Goods Orders,high,,,1
14,Feb,26,Friday,7:30,USD,Personal Income,high,,,1
15,Feb,26,Friday,7:30,USD,Personal Spending MoM,high,,,1
31,Feb,26,Friday,9:00,USD,UoM Consumer Sentiment Index,high,,,1
16,Mar,3,Wednesday,7:15,USD,ADP National Employment Report,high,,,1
11,Mar,5,Friday,7:30,USD,Balance of Trade,high,,,1
12,Mar,5,Friday,7:30,USD,Average Hourly Earnings MoM,high,,,1
18,Mar,5,Friday,7:30,USD,Nonfarm Payrolls,high,,,1
19,Mar,5,Friday,7:30,USD,Unemployment Rate,high,,,-1
8,Mar,10,Wednesday,7:30,USD,Core Inflation Rate YoY,high,,,-1
9,Mar,10,Wednesday,7:30,USD,Inflation Rate YoY,high,,,-1
31,Mar,12,Friday,7:30,USD,PPI MoM,high,,,1
